iter	Passed	Remaining
0	155	15400
1	325	15934
2	564	18236
3	866	20797
4	1130	21477
5	1371	21482
6	1630	21663
7	1879	21608
8	2140	21640
9	2418	21763
10	2660	21524
11	2913	21364
12	3164	21174
13	3458	21246
14	3718	21073
15	3985	20924
16	4252	20761
17	4510	20546
18	4764	20312
19	5033	20132
20	5327	20041
21	5603	19867
22	5865	19636
23	6113	19358
24	6389	19167
25	6628	18864
26	6898	18651
27	7216	18557
28	7477	18307
29	7709	17989
30	8001	17810
31	8277	17589
32	8528	17314
33	8805	17092
34	9069	16842
35	9322	16573
36	9551	16263
37	9697	15822
38	9914	15507
39	10163	15245
40	10398	14963
41	10691	14764
42	10921	14476
43	11205	14260
44	11478	14028
45	11734	13774
46	11958	13484
47	12228	13247
48	12585	13099
49	12818	12818
50	13059	12547
51	13300	12277
52	13527	11996
53	13826	11778
54	14037	11485
55	14281	11220
56	14494	10934
57	14767	10693
58	15023	10439
59	15303	10202
60	15547	9940
61	15799	9683
62	16055	9429
63	16281	9158
64	16518	8894
65	16794	8651
66	17039	8392
67	17289	8136
68	17509	7866
69	17765	7613
70	17981	7344
71	18233	7090
72	18491	6839
73	18729	6580
74	18960	6320
75	19201	6063
76	19443	5807
77	19681	5551
78	19896	5288
79	20132	5033
80	20372	4778
81	20653	4533
82	20920	4284
83	21145	4027
84	21372	3771
85	21626	3520
86	21870	3268
87	22097	3013
88	22357	2763
89	22581	2509
90	22801	2255
91	23061	2005
92	23304	1754
93	23579	1505
94	23825	1253
95	24098	1004
96	24336	752
97	24598	502
98	24835	250
99	25089	0
